rx_time,seq,pkt_no,ms,flight_mode,eject_state,altitude_cm,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pressure,bmp_temp,voltage_mv,current_ma,system_status,ack_received,crc16
1784016278.401,1,1,0,0,0,-16,2,-10,996,-3,5,-1,101325,2500,7400,513,0xf,False,0x0
1784016278.602,2,2,201,0,0,-20,4,-25,1025,3,1,0,101325,2500,7400,518,0xf,False,0x0
1784016279.002,4,4,601,0,0,2,34,22,1005,5,1,2,101325,2500,7400,488,0xf,False,0x0
1784016279.203,5,5,801,0,0,-15,-8,13,1020,2,-1,3,101325,2500,7400,495,0xf,False,0x0
1784016279.403,6,6,1002,0,0,1,47,9,952,-1,-1,1,101325,2500,7400,495,0xf,False,0x0
1784016279.604,7,7,1203,0,0,4,-3,51,989,5,4,3,101325,2500,7400,494,0xf,False,0x0
1784016279.805,8,8,1403,0,0,-19,-33,-36,971,1,-5,0,101325,2500,7400,516,0xf,False,0x0
1784016280.005,9,9,1604,0,0,1,-40,23,1044,-1,3,2,101325,2500,7400,493,0xf,False,0x0
1784016280.205,10,10,1804,0,0,9,-21,-6,1001,-1,-5,-3,101325,2500,7400,494,0xf,False,0x0
1784016280.419,11,11,2018,0,0,-8,7,-50,1047,2,2,-1,101325,2500,7400,511,0xf,False,0x0
1784016280.619,12,12,2218,0,0,6,-27,-54,1014,0,1,-5,101325,2500,7400,494,0xf,False,0x0
1784016280.820,13,13,2419,0,0,-6,48,-28,1040,-5,0,-5,101325,2500,7400,509,0xf,False,0x0
1784016281.023,14,14,2622,0,0,10,46,-43,1045,2,3,-5,101325,2500,7399,489,0xf,False,0x0
1784016281.224,15,15,2823,0,0,3,-33,33,1008,-1,-3,-1,101325,2500,7399,518,0xf,False,0x0
1784016281.424,16,16,3023,0,0,0,-4,-54,971,-2,0,-3,101325,2500,7399,520,0xf,False,0x0
1784016281.625,17,17,3224,0,0,-15,-45,-36,955,-4,2,-1,101325,2500,7399,484,0xf,False,0x0
1784016281.825,18,18,3424,0,0,-13,-55,-12,968,-5,3,3,101325,2500,7399,497,0xf,False,0x0
1784016282.026,19,19,3624,0,0,11,-34,6,1007,4,-5,3,101325,2500,7399,506,0xf,False,0x0
1784016282.229,20,20,3828,0,0,20,53,20,1022,-3,-2,-3,101325,2500,7399,520,0xf,False,0x0
1784016282.430,21,21,4028,0,0,-19,46,3,999,0,1,-4,101325,2500,7399,484,0xf,False,0x0
1784016282.630,22,22,4229,0,0,10,-32,33,1001,3,4,-5,101325,2500,7399,497,0xf,False,0x0
1784016282.837,23,23,4435,0,0,3,-56,35,985,-1,5,3,101325,2500,7399,483,0xf,False,0x0
1784016283.040,24,24,4639,0,0,4,11,-26,978,2,-2,5,101325,2500,7399,496,0xf,False,0x0
1784016283.241,25,25,4839,0,0,0,-49,0,999,-4,-5,-1,101325,2500,7399,513,0xf,False,0x0
1784016283.457,26,26,5056,1,0,5,-4,5,1046,1,-3,0,101325,2500,7398,480,0xf,False,0x0
1784016283.658,27,27,5257,1,0,-17,-41,55,992,-3,-2,-3,101325,2500,7398,519,0xf,False,0x0
1784016283.860,28,28,5459,1,0,2,43,-13,1050,5,3,5,101325,2500,7398,483,0xf,False,0x0
1784016284.061,29,29,5659,1,0,2,5,-1,1029,-4,0,-4,101325,2500,7398,491,0xf,False,0x0
1784016284.261,30,30,5860,1,0,-11,-9,-45,1028,-4,-1,-1,101325,2500,7398,495,0xf,False,0x0
1784016284.465,31,31,6064,1,0,16,49,-43,1026,4,-2,-1,101325,2500,7398,489,0xf,False,0x0
1784016284.666,32,32,6265,1,0,16,-2,-29,1019,-4,3,-4,101325,2500,7398,503,0xf,False,0x0
1784016284.866,33,33,6465,1,0,-4,35,-47,1007,1,-3,-4,101325,2500,7398,496,0xf,False,0x0
1784016285.067,34,34,6665,1,0,3,40,16,1031,3,3,-3,101325,2500,7398,493,0xf,False,0x0
1784016285.267,35,35,6866,1,0,-9,50,19,953,1,3,5,101325,2500,7398,517,0xf,False,0x0
1784016285.473,36,36,7072,1,0,-3,-40,-8,968,-2,-3,2,101325,2500,7398,509,0xf,False,0x0
1784016285.674,37,37,7272,1,0,-15,27,21,957,1,5,0,101325,2500,7398,489,0xf,False,0x0
1784016285.881,38,38,7480,1,0,-9,27,5,1025,1,-4,-5,101325,2500,7398,508,0xf,False,0x0
1784016286.081,39,39,7680,1,0,-12,52,-6,1009,-1,0,-2,101325,2500,7397,494,0xf,False,0x0
1784016286.282,40,40,7881,1,0,-17,52,-27,955,-4,-5,-4,101325,2500,7397,486,0xf,False,0x0
1784016286.491,41,41,8090,1,0,4,-1,-25,988,4,0,2,101325,2500,7397,482,0xf,False,0x0
1784016286.691,42,42,8290,1,0,13,-13,0,950,5,-2,1,101325,2500,7397,497,0xf,False,0x0
1784016286.897,43,43,8496,1,0,-8,-33,-46,1031,-2,0,3,101325,2500,7397,519,0xf,False,0x0
1784016287.098,44,44,8696,1,0,7,47,41,993,-1,-3,4,101325,2500,7397,480,0xf,False,0x0
1784016287.298,45,45,8897,1,0,-5,35,-2,969,1,-2,4,101325,2500,7397,487,0xf,False,0x0
1784016287.501,46,46,9100,1,0,-3,-14,-42,1012,3,-5,-5,101325,2500,7397,492,0xf,False,0x0
1784016287.702,47,47,9301,1,0,-12,25,58,1005,2,-5,-1,101325,2500,7397,484,0xf,False,0x0
1784016287.923,48,48,9522,1,0,-3,-9,5,1005,-5,1,1,101325,2500,7397,492,0xf,False,0x0
1784016288.123,49,49,9722,1,0,-19,40,49,997,-5,3,3,101325,2500,7397,512,0xf,False,0x0
