rx_time,seq,pkt_no,ms,flight_mode,eject_state,altitude_cm,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pressure,bmp_temp,voltage_mv,current_ma,system_status,ack_received,crc16
1783146495.438,1,1,0,0,0,-2,-27,-35,1018,-2,2,-2,101325,2500,7400,509,0xf,False,0x0
1783146495.643,2,2,205,0,0,18,-36,28,972,4,0,2,101325,2500,7400,489,0xf,False,0x0
1783146495.852,3,3,414,0,0,-2,-33,25,985,0,1,-5,101325,2500,7400,502,0xf,False,0x0
1783146496.053,4,4,614,0,0,-1,-15,-21,962,4,5,2,101325,2500,7400,510,0xf,False,0x0
1783146496.253,5,5,815,0,0,15,44,17,998,4,1,-4,101325,2500,7400,509,0xf,False,0x0
1783146496.453,6,6,1015,0,0,-13,-51,24,994,0,-4,-3,101325,2500,7400,513,0xf,False,0x0
1783146496.858,8,8,1420,0,0,5,43,-21,959,-2,3,1,101325,2500,7400,493,0xf,False,0x0
1783146497.058,9,9,1620,0,0,-4,44,16,954,2,-4,0,101325,2500,7400,516,0xf,False,0x0
1783146497.259,10,10,1821,0,0,3,29,-26,974,-1,-5,-4,101325,2500,7400,504,0xf,False,0x0
1783146497.459,11,11,2021,0,0,-7,-1,49,1023,-2,-2,-1,101325,2500,7400,500,0xf,False,0x0
1783146497.659,12,12,2221,0,0,5,-12,50,989,5,4,-5,101325,2500,7400,496,0xf,False,0x0
1783146497.860,13,13,2422,0,0,10,-25,17,1000,3,5,-1,101325,2500,7400,483,0xf,False,0x0
1783146498.060,14,14,2622,0,0,-5,-20,25,985,-1,5,3,101325,2500,7399,503,0xf,False,0x0
1783146498.260,15,15,2822,0,0,14,60,-50,1036,2,-1,-1,101325,2500,7399,517,0xf,False,0x0
1783146498.461,16,16,3022,0,0,-3,40,10,1008,5,3,-5,101325,2500,7399,488,0xf,False,0x0
1783146498.661,17,17,3223,0,0,-13,6,-43,1019,-1,3,4,101325,2500,7399,488,0xf,False,0x0
1783146498.861,18,18,3423,0,0,-5,-9,-39,993,4,2,-1,101325,2500,7399,499,0xf,False,0x0
