rx_time,seq,pkt_no,ms,flight_mode,eject_state,altitude_cm,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pressure,bmp_temp,voltage_mv,current_ma,system_status,ack_received,crc16
1783144604.678,1,1,1,0,0,1,51,57,1005,5,4,1,101325,2500,7400,501,0xf,False,0x0
1783144604.878,2,2,201,0,0,-3,-21,28,1007,0,-2,1,101325,2500,7400,493,0xf,False,0x0
1783144605.081,3,3,403,0,0,-3,-29,-36,968,-2,-5,2,101325,2500,7400,487,0xf,False,0x0
1783144605.282,4,4,604,0,0,5,-4,-4,953,4,-1,2,101325,2500,7400,492,0xf,False,0x0
1783144605.482,5,5,805,0,0,6,50,36,1014,5,2,-2,101325,2500,7400,512,0xf,False,0x0
1783144605.689,6,6,1012,0,0,14,47,-38,1001,4,3,2,101325,2500,7400,506,0xf,False,0x0
1783144605.922,7,7,1244,0,0,11,-58,-52,1009,2,5,-4,101325,2500,7400,499,0xf,False,0x0
1783144606.122,8,8,1445,0,0,14,-45,60,987,1,-4,-2,101325,2500,7400,516,0xf,False,0x0
1783144606.323,9,9,1645,0,0,20,-30,46,1008,-4,5,2,101325,2500,7400,491,0xf,False,0x0
1783144606.523,10,10,1846,0,0,16,-22,0,1042,2,2,3,101325,2500,7400,499,0xf,False,0x0
1783144606.737,11,11,2060,0,0,-20,21,46,970,0,3,5,101325,2500,7400,482,0xf,False,0x0
1783144606.938,12,12,2260,0,0,-5,-34,58,957,-4,5,0,101325,2500,7400,507,0xf,False,0x0
1783144607.153,13,13,2476,0,0,4,24,-18,1034,3,3,1,101325,2500,7400,499,0xf,False,0x0
1783144607.353,14,14,2676,0,0,9,-59,60,960,5,-4,-1,101325,2500,7399,491,0xf,False,0x0
1783144607.554,15,15,2876,0,0,20,-52,-47,986,-2,-2,-1,101325,2500,7399,499,0xf,False,0x0
1783144607.754,16,16,3077,0,0,-14,-24,16,993,5,2,0,101325,2500,7399,489,0xf,False,0x0
1783144608.156,18,18,3478,0,0,11,-5,-57,1020,-3,-5,5,101325,2500,7399,503,0xf,False,0x0
1783144608.356,19,19,3679,0,0,8,-37,-6,988,-2,-2,4,101325,2500,7399,503,0xf,False,0x0
1783144608.556,20,20,3879,0,0,-10,37,-32,1009,2,-2,-5,101325,2500,7399,485,0xf,False,0x0
1783144608.757,21,21,4080,0,0,-16,-33,-11,1001,4,3,-2,101325,2500,7399,496,0xf,False,0x0
1783144608.958,22,22,4280,0,0,-18,29,17,971,3,-4,-2,101325,2500,7399,502,0xf,False,0x0
1783144609.160,23,23,4482,0,0,2,6,45,1024,-2,1,5,101325,2500,7399,505,0xf,False,0x0
1783144609.360,24,24,4683,0,0,-20,29,-14,1018,-2,-1,1,101325,2500,7399,488,0xf,False,0x0
1783144609.561,25,25,4883,0,0,10,-23,-46,1024,-1,-5,-1,101325,2500,7399,480,0xf,False,0x0
1783144609.764,26,26,5086,1,0,13,-5,60,1033,0,-3,-5,101325,2500,7398,493,0xf,False,0x0
1783144609.964,27,27,5287,1,0,-8,4,46,1013,-1,0,-1,101325,2500,7398,519,0xf,False,0x0
1783144610.165,28,28,5487,1,0,2,40,33,1033,-2,-5,-5,101325,2500,7398,505,0xf,False,0x0
1783144610.386,29,29,5708,1,0,-15,-46,-44,962,4,-5,-2,101325,2500,7398,481,0xf,False,0x0
1783144610.586,30,30,5909,1,0,-17,-29,-42,1039,1,1,-2,101325,2500,7398,494,0xf,False,0x0
1783144610.787,31,31,6109,1,0,8,23,1,1004,-3,-4,-3,101325,2500,7398,518,0xf,False,0x0
1783144611.022,32,32,6344,1,0,-2,-11,-56,958,5,3,-2,101325,2500,7398,494,0xf,False,0x0
1783144611.222,33,33,6544,1,0,8,-40,40,996,5,-4,0,101325,2500,7398,517,0xf,False,0x0
1783144611.422,34,34,6745,1,0,1,-5,3,1023,1,2,3,101325,2500,7398,514,0xf,False,0x0
1783144611.627,35,35,6949,1,0,1,11,28,1017,1,2,-1,101325,2500,7398,488,0xf,False,0x0
1783144611.827,36,36,7150,1,0,-20,5,33,1035,3,-5,-1,101325,2500,7398,504,0xf,False,0x0
1783144612.028,37,37,7350,1,0,19,36,-8,981,3,-4,-3,101325,2500,7398,481,0xf,False,0x0
1783144612.228,38,38,7551,1,0,-19,-38,-47,1014,-5,1,-4,101325,2500,7397,495,0xf,False,0x0
1783144612.429,39,39,7751,1,0,-9,33,28,1037,1,4,-1,101325,2500,7397,483,0xf,False,0x0
1783144612.861,41,41,8183,1,0,11,59,-8,1025,0,0,2,101325,2500,7397,512,0xf,False,0x0
1783144613.062,42,42,8384,1,0,2,-24,3,956,2,-2,-4,101325,2500,7397,498,0xf,False,0x0
1783144613.262,43,43,8584,1,0,10,-49,-47,1029,5,3,-3,101325,2500,7397,515,0xf,False,0x0
1783144613.463,44,44,8786,1,0,-2,-52,-41,1050,-5,-1,-3,101325,2500,7397,497,0xf,False,0x0
1783144613.664,45,45,8986,1,0,18,42,58,956,-1,2,1,101325,2500,7397,510,0xf,False,0x0
1783144613.864,46,46,9187,1,0,2,-47,-8,1004,-2,2,4,101325,2500,7397,515,0xf,False,0x0
1783144614.065,47,47,9387,1,0,6,13,-44,978,-4,5,-4,101325,2500,7397,496,0xf,False,0x0
1783144614.265,48,48,9588,1,0,14,16,-40,959,2,-5,-5,101325,2500,7397,499,0xf,False,0x0
1783144614.466,49,49,9788,1,0,-5,45,27,986,-5,-5,-1,101325,2500,7397,517,0xf,False,0x0
1783144614.668,50,50,9991,1,0,-13,-57,6,1024,-2,3,-4,101325,2500,7397,517,0xf,False,0x0
1783144614.868,51,51,10191,2,0,1223,43,-25,1309,3,1,0,101177,2492,7396,503,0xf,False,0x0
1783144615.069,52,52,10392,2,0,2457,-44,-35,1622,-3,-1,2,101027,2484,7396,487,0xf,False,0x0
1783144615.283,53,53,10606,2,0,3712,-58,53,1938,4,3,0,100870,2475,7396,509,0xf,False,0x0
1783144615.484,54,54,10806,2,0,4890,-43,16,2218,-1,-4,3,100727,2468,7396,483,0xf,False,0x0
1783144615.684,55,55,11007,2,0,6026,-12,-60,2457,-4,5,-4,100588,2460,7396,488,0xf,False,0x0
1783144615.896,56,56,11218,2,0,7208,-54,40,2682,1,-4,-4,100445,2453,7396,487,0xf,False,0x0
1783144616.096,57,57,11419,2,0,8305,-34,-25,2940,-3,-4,-4,100314,2446,7396,484,0xf,False,0x0
1783144616.297,58,58,11619,2,0,9336,-15,11,3092,0,4,-2,100186,2439,7396,504,0xf,False,0x0
1783144616.512,59,59,11835,2,0,10409,-17,46,3269,2,-5,-3,100052,2432,7396,518,0xf,False,0x0
1783144616.714,60,60,12037,2,0,11437,45,-16,3425,-3,5,1,99931,2425,7396,484,0xf,False,0x0
1783144616.914,61,61,12237,2,0,12375,32,-8,3418,-4,-3,0,99815,2419,7396,519,0xf,False,0x0
1783144617.117,62,62,12440,2,0,13299,49,52,3451,-4,-3,-4,99700,2413,7396,502,0xf,False,0x0
1783144617.318,63,63,12640,2,0,14192,38,-45,3466,-3,0,4,99591,2407,7395,514,0xf,False,0x0
1783144617.518,64,64,12841,2,0,15057,-5,-60,3484,5,1,2,99485,2402,7395,501,0xf,False,0x0
1783144617.720,65,65,13043,2,0,15931,10,-24,3379,4,0,5,99383,2396,7395,490,0xf,False,0x0
1783144617.920,66,66,13243,2,0,16708,-5,-18,3277,3,4,3,99285,2391,7395,480,0xf,False,0x0
1783144618.121,67,67,13444,2,0,17514,-40,-14,3089,1,-1,-2,99190,2386,7395,497,0xf,False,0x0
1783144618.334,68,68,13657,2,0,18292,-38,-41,2837,-4,-5,2,99093,2381,7395,519,0xf,False,0x0
1783144618.535,69,69,13857,2,0,19021,-47,57,2649,-2,-4,2,99006,2376,7395,498,0xf,False,0x0
1783144618.736,70,70,14058,2,0,19679,-21,27,2440,-4,-3,5,98923,2372,7395,518,0xf,False,0x0
1783144618.980,71,71,14303,2,0,20481,-35,-11,2042,2,-1,1,98826,2366,7395,517,0xf,False,0x0
1783144619.181,72,72,14503,2,0,21081,-4,-19,1755,-5,3,-3,98751,2362,7395,486,0xf,False,0x0
1783144619.381,73,73,14704,2,0,21676,-40,14,1488,1,2,-3,98679,2359,7395,506,0xf,False,0x0
1783144619.614,74,74,14937,2,0,22313,10,43,1121,3,2,4,98601,2354,7395,510,0xf,False,0x0
1783144619.815,75,75,15137,2,0,22851,-23,11,-187,-1,-2,-4,98538,2351,7394,508,0xf,False,0x0
1783144620.015,76,76,15338,2,0,23327,-26,49,-263,1,3,5,98478,2348,7394,495,0xf,False,0x0
1783144620.219,77,77,15542,2,0,23791,-45,-8,-281,-5,3,-1,98420,2345,7394,515,0xf,False,0x0
1783144620.420,78,78,15742,2,0,24231,53,5,-275,-5,1,0,98368,2342,7394,509,0xf,False,0x0
1783144620.621,79,79,15943,2,0,24639,44,-43,-288,3,-5,3,98319,2339,7394,491,0xf,False,0x0
1783144620.830,80,80,16153,2,0,25034,3,-57,-250,0,4,-3,98272,2337,7394,517,0xf,False,0x0
1783144621.031,81,81,16354,2,0,25340,20,0,-321,0,1,-4,98230,2335,7394,517,0xf,False,0x0
1783144621.232,82,82,16554,2,0,25659,46,50,-373,-5,-1,5,98193,2333,7394,493,0xf,False,0x0
1783144621.448,83,83,16770,2,0,25986,13,-23,-360,2,-1,-1,98156,2331,7394,502,0xf,False,0x0
1783144621.650,84,84,16973,2,0,26204,-34,-58,-331,-4,-3,1,98126,2329,7394,500,0xf,False,0x0
1783144621.850,85,85,17173,2,0,26447,28,48,-403,-4,-1,4,98100,2328,7394,491,0xf,False,0x0
1783144622.051,86,86,17374,2,0,26609,32,-2,-421,3,-5,1,98077,2326,7394,510,0xf,False,0x0
1783144622.252,87,87,17574,2,0,26759,49,-39,-428,-2,1,-5,98058,2325,7393,480,0xf,False,0x0
1783144622.452,88,88,17775,2,0,26902,41,-23,-463,5,2,1,98043,2325,7393,512,0xf,False,0x0
1783144622.656,89,89,17979,2,0,26993,-16,-26,-406,1,-5,1,98031,2324,7393,483,0xf,False,0x0
1783144622.857,90,90,18179,2,0,27069,-19,-41,-432,-1,4,3,98023,2324,7393,506,0xf,False,0x0
1783144623.271,92,92,18594,3,1,27088,-36,58,-95,5,4,5,98021,2323,7393,506,0xf,False,0x0
1783144623.472,93,93,18794,3,1,27014,16,0,-60,-3,-2,-2,98027,2324,7393,496,0xf,False,0x0
1783144623.673,94,94,18995,3,1,26993,4,35,-84,-5,-3,-1,98033,2324,7393,484,0xf,False,0x0
1783144623.895,95,95,19218,3,1,26914,-21,44,-73,0,-3,-5,98040,2325,7393,505,0xf,False,0x0
1783144624.095,96,96,19418,3,1,26880,51,-22,-53,5,0,-3,98046,2325,7393,519,0xf,False,0x0
1783144624.296,97,97,19618,3,1,26807,-18,50,-77,2,-3,-5,98052,2325,7393,494,0xf,False,0x0
1783144624.511,98,98,19834,3,1,26777,-3,59,-147,1,-1,3,98059,2326,7393,502,0xf,False,0x0
1783144624.711,99,99,20034,3,1,26701,-30,-13,-115,5,0,-1,98065,2326,7392,501,0xf,False,0x0
1783144624.912,100,100,20235,3,1,26645,52,-28,-80,0,5,5,98071,2326,7392,492,0xf,False,0x0
1783144625.129,101,101,20452,3,1,26615,26,50,-86,-1,1,4,98078,2327,7392,511,0xf,False,0x0
1783144625.329,102,102,20652,3,1,26569,-35,-47,-89,2,1,-3,98084,2327,7392,505,0xf,False,0x0
1783144625.530,103,103,20852,3,1,26512,-36,-51,-69,4,1,0,98091,2327,7392,502,0xf,False,0x0
1783144625.744,104,104,21067,3,1,26470,-58,-40,-135,2,5,5,98097,2328,7392,483,0xf,False,0x0
1783144625.945,105,105,21267,3,1,26394,27,-10,-132,0,0,4,98103,2328,7392,482,0xf,False,0x0
1783144626.145,106,106,21468,3,1,26359,1,-9,-126,1,-5,0,98110,2328,7392,508,0xf,False,0x0
1783144626.388,107,107,21711,3,1,26291,60,28,-88,1,-4,1,98117,2329,7392,484,0xf,False,0x0
1783144626.589,108,108,21911,3,1,26242,-9,-5,-126,1,-5,5,98124,2329,7392,510,0xf,False,0x0
1783144626.789,109,109,22112,3,1,26190,33,5,-130,2,0,-3,98130,2329,7392,488,0xf,False,0x0
1783144627.027,110,110,22350,3,1,26137,-17,-31,-73,3,-3,4,98137,2330,7392,489,0xf,False,0x0
1783144627.228,111,111,22550,3,1,26053,12,-40,-56,-1,4,2,98144,2330,7391,503,0xf,False,0x0
1783144627.428,112,112,22751,3,1,26036,-20,-53,-76,3,5,-2,98150,2330,7391,507,0xf,False,0x0
1783144627.629,113,113,22951,3,1,25950,-40,8,-75,-2,-3,-1,98156,2331,7391,511,0xf,False,0x0
1783144627.829,114,114,23152,3,1,25917,-17,49,-60,2,1,2,98163,2331,7391,497,0xf,False,0x0
1783144628.030,115,115,23352,3,1,25875,-55,-19,-130,-2,2,4,98169,2331,7391,515,0xf,False,0x0
1783144628.251,116,116,23573,3,1,25818,-48,-25,-51,-1,-5,-5,98176,2332,7391,504,0xf,False,0x0
1783144628.451,117,117,23774,3,1,25741,-49,55,-133,-5,-2,-2,98183,2332,7391,519,0xf,False,0x0
1783144628.652,118,118,23975,3,1,25695,-53,-2,-134,4,-1,0,98189,2332,7391,498,0xf,False,0x0
1783144628.888,119,119,24210,3,1,25626,-29,23,-114,-4,-2,0,98196,2333,7391,519,0xf,False,0x0
1783144629.088,120,120,24411,3,1,25604,25,-15,-72,5,0,0,98203,2333,7391,494,0xf,False,0x0
1783144629.289,121,121,24611,3,1,25553,-1,0,-85,5,5,-1,98209,2334,7391,485,0xf,False,0x0
1783144629.505,122,122,24828,3,1,25481,-41,1,-142,2,2,-1,98216,2334,7391,489,0xf,False,0x0
1783144629.706,123,123,25028,3,1,25422,-44,23,-93,-4,-5,-2,98223,2334,7390,515,0xf,False,0x0
1783144629.907,124,124,25230,3,1,25388,-1,36,-43,-1,1,-3,98229,2335,7390,511,0xf,False,0x0
1783144630.135,125,125,25458,3,1,25312,-55,22,-124,0,-5,-3,98237,2335,7390,509,0xf,False,0x0
1783144630.337,126,126,25659,3,1,25269,59,54,-104,0,2,0,98243,2335,7390,512,0xf,False,0x0
1783144630.537,127,127,25860,3,1,25193,-50,43,-79,-2,-4,3,98250,2336,7390,496,0xf,False,0x0
1783144630.742,128,128,26064,3,1,25146,29,-32,-95,-4,2,-1,98256,2336,7390,502,0xf,False,0x0
